Unit,TCode,Rent,Base,Criteria,Grace_Period,Legal_Rent,Deposit,From,To,Move_In,Move_Out,Months_Occupied,Last_Renewal,Tenant_Status,Roommates-Y,ACH-Y
1-1A,t0007336,"1,791.00",5.00,% Monthly Rent,5.00,"3,525.59",0.00 , 10/31/15, 10/31/17, 10/31/15, 12/31/16,14,,Past,Y,N
1-1A,t0010441,"1,720.00",50.00,Flat Amount,5.00,"3,525.59","3,439.60 ", 03/01/19, 02/28/21, 02/24/17,,-1426, 01/25/19,Current,Y,Y
1-1C,t0008389,"1,889.00",5.00,% Monthly Rent,5.00,"4,569.38",0.00 , 03/31/16, 03/31/18, 03/31/16, 3/31/18,24,,Past,Y,N
1-1C,t0013455,"1,829.00",50.00,Flat Amount,5.00,"4,569.38","4,569.38 ", 05/29/18, 05/31/20, 05/29/18,,-1442,,Current,Y,Y
1-1E,t0014677,0.00,5.00,% Owed-month,5.00,"4,092.53",0.00 , 01/31/19, 01/31/21, 01/31/19,,-1450,,Applicant,N,N
1-1E,t0014866,"1,675.00",50.00,Flat Amount,5.00,"4,092.53","4,092.53 ", 02/25/19, 02/28/21, 02/25/19,,-1451,,Current,Y,Y
1-1E,t0014842,"3,158.41",5.00,% Owed-month,5.00,"4,092.53",0.00 , 02/28/19, 02/28/21, 02/28/19,,-1451,,Applicant,N,N
1-1E,t0014801,0.00,5.00,% Owed-month,5.00,"4,092.53",0.00 , 03/31/19, 03/31/21, 03/31/19,,-1452,,Applicant,N,N
1-2A,t0006410,"2,481.75",5.00,% Owed-month,5.00,"3,406.15",, 04/27/15, 04/30/17, 04/27/15,,-1404,,Applicant,N,N
1-2A,t0006398,"1,785.00",50.00,Flat Amount,5.00,"3,406.15","3,257.91 ", 05/01/19, 04/30/21, 04/28/15,,-1404, 02/26/19,Current,Y,Y
1-2C,t0011199,"1,370.00",50.00,Flat Amount,5.00,"1,606.12","1,606.12 ", 08/01/19, 07/31/21, 07/10/17,,-1431, 04/19/19,Current,N,N
1-2E,t0009032,"1,650.00",50.00,Flat Amount,5.00,"2,596.10","2,596.10 ", 07/01/18, 06/30/20, 07/01/16,,-1418, 06/11/18,Current,Y,Y
1-2F,t0008667,"1,815.00",5.00,% Monthly Rent,5.00,"3,893.10","2,549.00 ", 05/01/18, 04/30/20, 05/01/16, 5/1/18,24, 04/09/18,Past,Y,N
1-2F,t0013355,"1,875.00",50.00,Flat Amount,5.00,"3,893.10","3,649.00 ", 05/01/18, 04/30/20, 05/01/18, 12/31/19,20,,Past,Y,N
1-2F,t0016302,0.00,50.00,Flat Amount,5.00,"3,893.10","3,000.00 ", 01/01/20, 12/31/21, 01/01/20,,-1461,,Current,N,Y
1-3A,t0010579,"1,659.00",50.00,Flat Amount,5.00,"2,528.98","2,467.30 ", 04/01/19, 03/31/21, 03/24/17,,-1427, 01/07/19,Current,Y,Y
1-3B,t0006739,"1,950.00",50.00,Flat Amount,5.00,"3,210.78","2,333.75 ", 07/01/19, 06/30/21, 07/01/15,,-1406, 05/28/19,Current,Y,Y
1-3E,t0011004,0.00,5.00,% Owed-month,5.00,"3,710.89",0.00 , 06/05/17, 06/30/19, 06/05/17,,-1430,,Applicant,N,N
1-3E,t0012446,"1,802.50",50.00,Flat Amount,5.00,"3,710.89","3,620.38 ", 03/01/20, 02/28/22, 02/28/18,,-1439, 01/14/20,Current,Y,Y
1-4A,t0014037,"1,828.25",50.00,Flat Amount,5.00,"2,664.11","2,664.11 ", 08/23/18, 08/31/20, 08/23/18,,-1445,,Current,Y,Y
