Unit,Rent,Legal_Rent,Deposit,Lease _From,Lease_To,Move_In,Is_Past
1-1A,"1,791.00","3,525.59",0.00 , 10/31/15, 10/31/17, 10/31/15,1
1-1A,"1,720.00","3,525.59","3,439.60 ", 03/01/19, 02/28/21, 02/24/17,0
1-1C,"1,889.00","4,569.38",0.00 , 03/31/16, 03/31/18, 03/31/16,1
1-1C,"1,829.00","4,569.38","4,569.38 ", 05/29/18, 05/31/20, 05/29/18,0
1-1E,0.00,"4,092.53",0.00 , 01/31/19, 01/31/21, 01/31/19,0
1-1E,"1,675.00","4,092.53","4,092.53 ", 02/25/19, 02/28/21, 02/25/19,0
1-1E,"3,158.41","4,092.53",0.00 , 02/28/19, 02/28/21, 02/28/19,0
1-1E,0.00,"4,092.53",0.00 , 03/31/19, 03/31/21, 03/31/19,0
1-2A,"2,481.75","3,406.15",, 04/27/15, 04/30/17, 04/27/15,1
1-2A,"1,785.00","3,406.15","3,257.91 ", 05/01/19, 04/30/21, 04/28/15,0
1-2C,"1,370.00","1,606.12","1,606.12 ", 08/01/19, 07/31/21, 07/10/17,0
1-2E,"1,650.00","2,596.10","2,596.10 ", 07/01/18, 06/30/20, 07/01/16,0
1-2F,"1,815.00","3,893.10","2,549.00 ", 05/01/18, 04/30/20, 05/01/16,0
1-2F,"1,875.00","3,893.10","3,649.00 ", 05/01/18, 04/30/20, 05/01/18,0
1-3A,"1,659.00","2,528.98","2,467.30 ", 04/01/19, 03/31/21, 03/24/17,0
1-3B,"1,950.00","3,210.78","2,333.75 ", 07/01/19, 06/30/21, 07/01/15,0
1-3E,0.00,"3,710.89",0.00 , 06/05/17, 06/30/19, 06/05/17,1
1-3E,"1,802.50","3,710.89","3,620.38 ", 03/01/20, 02/28/22, 02/28/18,0
1-4A,"1,828.25","2,664.11","2,664.11 ", 08/23/18, 08/31/20, 08/23/18,0
1-4C,0.00,"5,381.15",, 02/29/16, 02/28/18, 02/29/16,1
1-4C,"1,889.00","5,381.15",0.00 , 04/01/18, 03/31/20, 03/28/16,0
1-4C,"2,050.00","5,381.15","5,381.15 ", 09/24/18, 09/30/20, 09/24/18,0
1-4E,0.00,"3,500.58",0.00 , 11/30/18, 11/30/20, 11/30/18,0
1-4E,"1,675.00","3,500.58","3,500.58 ", 02/28/19, 02/28/21, 02/28/19,0
1-4F,"1,850.00","3,492.48",0.00 , 07/14/17, 07/31/19, 07/14/17,1
1-4F,0.00,"3,492.48",0.00 , 01/31/19, 01/31/21, 01/31/19,0
1-4F,"1,992.43","3,492.48","3,492.48 ", 02/01/19, 01/31/21, 02/01/19,0
1-5A,0.00,"3,437.75",, 04/30/15, 04/30/17, 04/30/15,1
1-5A,"1,699.00","3,437.75",0.00 , 05/09/15, 05/31/17, 05/09/15,1
1-5A,"1,835.00","3,437.75",0.00 , 11/29/17, 11/30/19, 11/29/17,1
1-5A,0.00,"3,437.75",0.00 , 12/31/19, 12/31/21, 12/31/19,0
1-5D,"1,499.00","2,100.07","2,069.03 ", 11/01/18, 10/31/19, 11/01/16,1
1-5D,"1,525.00","2,100.07","2,100.07 ", 11/08/19, 11/30/21, 11/08/19,0
1-5E,"1,625.00","2,317.79",0.00 , 06/28/18, 06/30/19, 06/28/18,1
1-5E,"1,650.00","2,317.79","2,317.79 ", 03/08/19, 03/31/21, 03/08/19,0
1-5G,"1,845.00","3,521.59","3,452.54 ", 07/01/18, 06/30/20, 07/01/16,0
1-6A,"1,665.00","3,159.19","3,159.19 ", 03/01/19, 02/28/21, 02/25/17,0
1-6D,"1,385.00","2,087.59","2,087.59 ", 04/01/19, 03/31/21, 03/27/15,0
1-6E,"1,685.27","2,106.25",0.00 , 10/06/15, 10/31/17, 10/06/15,1
1-6E,0.00,"2,106.25",0.00 , 12/31/17, 12/31/19, 12/31/17,1
1-6E,0.00,"2,106.25",0.00 , 03/31/18, 03/31/20, 03/31/18,0
1-6E,0.00,"2,106.25",0.00 , 04/30/18, 04/30/20, 04/30/18,0
1-6E,"1,739.67","2,106.25","2,106.25 ", 05/25/18, 05/31/20, 05/25/18,0
1-6E,0.00,"2,106.25",0.00 , 06/01/18, 05/31/20, 06/01/18,0
1-6E,0.00,"2,106.25",0.00 , 06/01/18, 05/31/20, 06/01/18,0
1-HOUSE,0.00,,0.00 , 01/01/20,, 01/01/20,1
1-L1,"1,752.07","2,560.93",, 05/30/16, 05/31/18, 05/30/16,1
1-L1,"1,575.00","2,560.93",0.00 , 05/01/18, 04/30/19, 04/30/16,1
1-L1,"1,575.00","2,560.93","2,560.93 ", 06/01/19, 05/31/20, 06/01/19,0
1-L3,750.75,"2,182.09","2,128.87 ", 04/01/20, 03/31/22, 03/17/18,0
1-PARK,0.00,,0.00 , 08/01/17, 07/31/18, 07/12/16,1
1-PARK,200.00,,0.00 , 02/08/19, 02/29/20, 02/08/19,0
1-PARK,0.00,,0.00 , 03/29/19, 03/31/20, 03/29/19,0
1-PARK,0.00,,20.00 , 10/01/19, 09/30/21, 09/20/18,0
1-PARK,0.00,,0.00 , 03/01/20, 02/28/21, 02/28/19,0
1-SCQ,0.00,,0.00 , 01/01/16,, 01/01/16,1
4-1C,0.00,"2,947.98",0.00 , 05/31/16, 05/31/18, 05/31/16,1
4-1C,"1,775.00","2,947.98",0.00 , 06/18/16, 06/30/18, 06/18/16,1
4-1C,0.00,"2,947.98",0.00 , 07/31/18, 07/31/20, 07/31/18,0
4-1C,"1,699.00","2,947.98","2,911.98 ", 09/26/18, 09/30/20, 09/26/18,0
4-1C,0.00,"2,947.98",0.00 , 09/30/18, 09/30/20, 09/30/18,0
4-1C,0.00,"2,947.98",0.00 , 09/30/18, 09/30/20, 09/30/18,0
4-1C,0.00,"2,947.98",0.00 , 03/31/19, 03/31/21, 03/31/19,0
4-1C,"1,715.00","2,947.98","2,947.98 ", 04/01/19, 03/31/21, 04/01/19,0
4-1J,0.00,"4,241.09",0.00 , 03/31/18, 03/31/20, 03/31/18,0
4-1J,0.00,"4,241.09",0.00 , 04/30/18, 04/30/20, 04/30/18,0
4-1J,0.00,"4,241.09",0.00 , 05/31/18, 05/31/20, 05/31/18,0
4-1J,"1,677.87","4,241.09","3,000.00 ", 06/27/18, 06/30/20, 06/27/18,0
4-1J,0.00,"4,241.09",0.00 , 06/30/18, 06/30/20, 06/30/18,0
4-1K,"1,725.00","2,789.88","2,789.88 ", 12/01/18, 11/30/20, 11/27/15,0
4-1N,0.00,"3,183.79",0.00 , 01/31/16, 01/31/18, 01/31/16,1
4-1N,0.00,"3,183.79",0.00 , 03/31/16, 03/31/18, 03/31/16,1
